flower_inference,pollinator_inference,n_flowers,pipeline,threads,batch_size
0.2451124700019136,15.543616695969831,28,15.989111796021461,4,1
0.23324919200967997,16.96496961900266,31,17.384303125028964,4,1
0.23280250700190663,6.6390696670277975,12,7.037929400044959,4,1
0.23351376701612025,7.094106390024535,13,7.485799583024345,4,1
0.2339620660059154,15.363065196026582,28,15.758197788964026,4,1
0.23270630300976336,15.865198119019624,29,16.256853175989818,4,1
0.23448176198871806,15.348564047017135,28,15.748383336991537,4,1
0.2337115039699711,4.9670015800511464,9,5.4412829669890925,4,1
0.2384635289781727,10.919466441031545,20,11.32173593196785,4,1
0.2367114230291918,13.151690921979025,24,13.555353820964228,4,1
0.23336314997868612,13.715010425017681,25,14.122663255024236,4,1
0.2362141219782643,12.79794982203748,23,13.20045000500977,4,1
0.23731428303290159,14.82017362699844,27,15.235438162984792,4,1
0.23625507799442858,6.026910388027318,11,6.423041907022707,4,1
0.23435635602800176,13.148550595971756,24,13.54098619701108,4,1
0.23498589399969205,13.81773264601361,25,14.214543495036196,4,1
0.2440006069955416,12.93907765194308,23,13.355841864016838,4,1
0.23790330201154575,15.716391020978335,28,16.116233523993287,4,1
0.24276483501307666,7.292009532975499,13,7.700669404002838,4,1
0.24252543901093304,10.674400301999412,19,11.078005888033658,4,1

0.33479960198746994,21.50980514503317,28,22.04230779100908,1,2
0.3143903139862232,23.39397374796681,31,23.87585140299052,1,2
0.314187140960712,9.05468787701102,12,9.537434913974721,1,2
0.35572360298829153,10.033592585998122,13,10.566144765994977,1,2
0.31520364905009046,21.18060320604127,28,21.668517983984202,1,2
0.32438383100088686,22.461900040041655,29,22.95196814101655,1,2
0.3151010380242951,20.92324735899456,28,21.413543512986507,1,2
0.31661547301337123,6.700330856023356,9,7.265381791046821,1,2
0.31669989303918555,15.192069440032355,20,15.67719117301749,1,2
0.31581056700088084,18.148548173019662,24,18.642158549977466,1,2
0.32133700902340934,19.36978214996634,25,19.857821803016122,1,2
0.31478404498193413,17.43493121099891,23,17.920739654044155,1,2
0.3133606310002506,19.942799078999087,27,20.429172231000848,1,2
0.3151419660425745,8.354060622979887,11,8.833260325016454,1,2
0.3135365640046075,18.15203716297401,24,18.62443250400247,1,2
0.31603001500479877,18.994858569989447,25,19.475148559024092,1,2
0.3139532360364683,17.36967329296749,23,17.848488508025184,1,2
0.31482003699056804,21.15046172303846,28,21.62640037300298,1,2
0.34052371798316017,9.797432206978556,13,10.312357521965168,1,2
0.3172117390204221,14.393095047969837,19,14.87244427902624,1,2

0.24715339904651046,16.354180013993755,28,16.807594313984737,4,2
0.23712483799317852,18.036283676046878,31,18.43707581894705,4,2
0.2420157510205172,6.937856347009074,12,7.347984994004946,4,2
0.2380050680367276,7.45367213600548,13,7.854576710029505,4,2
