Setup,Preis,Aufwand Gehäuse,Speed,Support / Community,Energieeffizienz,Flexibilität
Hailo,1,3,3,3,3,3
AI-Kamera,1,1,2,3,2,2
NCNN,1,3,1,2,1,1


